Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1697657306,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1697657307,1,,Aggregated,0.000000,0.000000,2,2,2,2,3,3,6,6,31,31,31,460,415,2,2.069935971952003,1.1237086728215218,30.51845822483301,1.2717391304347827
1697657308,1,,Aggregated,0.000000,0.000000,2,2,2,2,3,3,7,9,31,31,31,842,797,2,2.2751148668451857,1.1237086728215218,30.51845822483301,0.6947743467933492
1697657309,1,,Aggregated,337.000000,292.000000,2,2,2,2,3,3,6,8,31,31,31,1271,1226,2,2.26387133665037,1.1237086728215218,30.987042002379894,0.46026750590086546
1697657310,1,,Aggregated,371.000000,348.500000,2,2,2,2,3,3,6,7,31,31,31,1692,1647,2,2.2708624155518224,1.1237086728215218,30.987042002379894,0.34574468085106386
1697657311,1,,Aggregated,386.666667,371.666667,2,2,2,2,3,3,6,7,20,31,31,2142,2097,2,2.2440586142575873,1.1237086728215218,30.987042002379894,0.27310924369747897
1697657312,1,,Aggregated,394.750000,383.500000,2,2,2,2,3,3,6,7,29,31,31,2559,2514,2,2.2548454656801034,1.1237086728215218,30.987042002379894,0.22860492379835873
1697657313,1,,Aggregated,403.800000,394.800000,2,2,2,2,3,3,6,7,29,31,31,2987,2942,2,2.254586985162021,1.1237086728215218,30.987042002379894,0.1958486776029461
1697657314,1,,Aggregated,407.000000,399.500000,2,2,2,2,3,3,6,7,29,31,31,3445,3400,2,2.2361202768343453,1.0740002617239952,30.987042002379894,0.16981132075471697
1697657315,1,,Aggregated,408.714286,402.285714,2,2,2,2,3,3,6,7,29,31,31,3841,3796,2,2.2563248149230124,1.0740002617239952,30.987042002379894,0.15230408747721946
1697657316,1,,Aggregated,416.875000,411.250000,2,2,2,2,3,3,6,7,24,31,31,4256,4211,2,2.2634288803341667,1.0740002617239952,30.987042002379894,0.137453007518797
1697657317,1,,Aggregated,414.000000,409.000000,2,2,2,2,3,3,6,7,29,31,31,4668,4578,2,2.26920009782217,1.0740002617239952,30.987042002379894,0.2506426735218509
1697657318,1,,Aggregated,412.700000,408.200000,2,2,2,2,3,3,6,7,24,31,31,5091,5001,2,2.2709836041475415,1.0740002617239952,30.987042002379894,0.22981732469063051
1697657319,1,,Aggregated,421.400000,416.900000,2,2,2,2,3,3,6,7,29,31,31,5507,5417,2,2.2740236033496264,1.0740002617239952,30.987042002379894,0.21245687307063738
1697657320,1,,Aggregated,422.600000,418.100000,2,2,2,2,3,3,6,7,29,31,31,5921,5831,2,2.2778441013352753,1.0740002617239952,30.987042002379894,0.19760175646005743
1697657321,1,,Aggregated,422.700000,418.200000,2,2,2,2,3,3,6,7,24,31,31,6382,6292,2,2.2641792753317334,1.0740002617239952,30.987042002379894,0.18332811031024757
1697657322,1,,Aggregated,422.800000,418.300000,2,2,2,2,3,3,6,7,29,31,31,6792,6702,2,2.269648221865498,1.0740002617239952,30.987042002379894,0.17226148409893993
1697657323,1,,Aggregated,423.300000,418.800000,2,2,2,2,3,3,6,7,24,31,31,7250,7160,2,2.259569884374224,1.0740002617239952,30.987042002379894,0.16137931034482758
1697657324,1,,Aggregated,423.000000,418.500000,2,2,2,2,3,3,6,7,29,31,31,7673,7583,2,2.2606384722817197,1.0740002617239952,30.987042002379894,0.1524827316564577
1697657325,1,,Aggregated,426.300000,421.800000,2,2,2,2,3,3,6,7,24,31,31,8085,7995,2,2.2648514194866722,1.0740002617239952,30.987042002379894,0.14471243042671614
1697657326,1,,Aggregated,421.800000,417.300000,2,2,2,2,3,3,6,7,29,32,32,8523,8433,2,2.261526839923239,1.0740002617239952,31.6337076947093,0.13727560718057022
1697657327,1,,Aggregated,424.200000,419.700000,2,2,2,2,3,3,6,7,29,32,32,8937,8802,2,2.264657291147391,1.0740002617239952,31.6337076947093,0.19637462235649547
1697657328,1,,Aggregated,428.400000,423.900000,2,2,2,2,3,3,6,7,26,32,32,9375,9240,2,2.2619229037563007,1.0740002617239952,31.6337076947093,0.1872
1697657329,1,,Aggregated,426.400000,421.900000,2,2,2,2,3,3,6,7,29,32,32,9790,9655,2,2.2633575859067694,1.0740002617239952,31.6337076947093,0.17926455566905006
1697657330,1,,Aggregated,428.200000,423.700000,2,2,2,2,3,3,6,7,28,31,32,10205,10070,2,2.266103598996011,1.0740002617239952,31.6337076947093,0.17197452229299362
1697657331,1,,Aggregated,428.400000,423.900000,2,2,2,2,3,3,6,7,29,32,33,10662,10527,2,2.259675505960822,1.0740002617239952,32.992624677717686,0.16460326392796848
1697657332,1,,Aggregated,427.000000,422.500000,2,2,2,2,3,3,6,7,28,32,33,11070,10935,2,2.263524128559913,1.0740002617239952,32.992624677717686,0.15853658536585366
1697657333,1,,Aggregated,427.500000,423.000000,2,2,2,2,3,3,6,7,28,32,33,11527,11392,2,2.2568934100752043,1.0740002617239952,32.992624677717686,0.15225123622798648
1697657334,1,,Aggregated,427.900000,423.400000,2,2,2,2,3,3,6,7,29,32,33,11933,11798,2,2.2617448229793182,1.0740002617239952,32.992624677717686,0.14707114723874967
1697657335,1,,Aggregated,428.400000,423.900000,2,2,2,2,3,3,6,7,28,32,33,12361,12226,2,2.261501894633165,1.0740002617239952,32.992624677717686,0.14197880430385892
