Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,122295,120945,2,2.3527078018514804,0.9917505085468292,40.671625174582005,0.14350545811357782,408.5610803722039,404.0510230640353,2,2,2,2,3,4,6,8,29,33,41
,Aggregated,122295,120945,2,2.3527078018514804,0.9917505085468292,40.671625174582005,0.14350545811357782,408.5610803722039,404.0510230640353,2,2,2,2,3,4,6,8,29,33,41
